Date,Open,High,Low,Close,Volume,Turnover
02-12-2013,6171.15,6228.7,6171.15,6217.85,145948276,52941500000
03-12-2013,6204.25,6225.4,6191.4,6201.85,156852586,54742900000
04-12-2013,6187.95,6209.15,6149.9,6160.95,186169067,55619500000
05-12-2013,6262.45,6300.55,6232,6241.1,186060466,75193400000
06-12-2013,6234.4,6275.35,6230.75,6259.9,158539890,56921100000
09-12-2013,6415,6415.25,6345,6363.9,198285630,81175700000
10-12-2013,6354.7,6362.25,6307.55,6332.85,242412856,86461700000
11-12-2013,6307.2,6326.6,6280.25,6307.9,148196394,56726600000
12-12-2013,6276.75,6286.85,6230.55,6237.05,148533899,51753900000
13-12-2013,6201.3,6208.6,6161.4,6168.4,169650657,64030100000
16-12-2013,6168.35,6183.25,6146.05,6154.7,146451539,54455100000
17-12-2013,6178.2,6190.55,6133,6139.05,154174701,56761900000
18-12-2013,6129.95,6236,6129.95,6217.15,243250558,74982100000
19-12-2013,6253.9,6263.75,6150.7,6166.65,437039204,90054900000
20-12-2013,6179.95,6284.5,6170.35,6274.25,171969981,63593700000
23-12-2013,6267.2,6317.5,6266.95,6284.5,131187586,47466600000
24-12-2013,6296.45,6301.5,6262,6268.4,107642909,37809000000
26-12-2013,6270.1,6302.75,6259.45,6278.9,182310258,64572300000
27-12-2013,6292.8,6324.9,6289.4,6313.8,96867388,37972500000
30-12-2013,6336.4,6344.05,6273.15,6291.1,101271820,39772300000
31-12-2013,6307.35,6317.3,6287.3,6304,103439312,30321100000
